ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaal_geen_correctieJuist	totaal_geen_correctieFout	totaal_geen_correctieBlanco	totaal_geen_correctieScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskunde_geen_correctieJuist	wiskunde_geen_correctieFout	wiskunde_geen_correctieBlanco	wiskunde_geen_correctieScore	fysicaJuist	fysicaFout	fysicaBlanco	fysicaScore	fysica_geen_correctieJuist	fysica_geen_correctieFout	fysica_geen_correctieBlanco	fysica_geen_correctieScore	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemie_geen_correctieJuist	chemie_geen_correctieFout	chemie_geen_correctieBlanco	chemie_geen_correctieScore
30090	1	1	15	6	6	10	15	7	8	8	4	1	4	4	4	2	4	3	4	3	2	3	4	3	3	3	7	2	0	7	7	2	1	6
30089	1	0	14	13	0	7	16	14	0	8	5	4	0	4	5	5	0	3	2	7	0	0	3	7	0	1	7	2	0	7	8	2	0	7
30436	1	0	13	5	9	8	15	5	10	9	4	2	3	4	5	2	3	4	4	0	5	4	4	0	6	4	5	3	1	4	6	3	1	5
30256	1	0	13	5	9	8	13	7	10	7	2	2	5	1	2	3	5	1	4	2	3	4	4	3	3	3	7	1	1	7	7	1	2	7
30352	1	0	11	15	1	4	12	17	1	4	4	4	1	3	4	5	1	2	2	7	0	0	2	8	0	0	5	4	0	4	6	4	0	5
30153	1	0	10	7	10	6	10	9	11	5	0	1	8	0	0	1	9	0	4	4	1	3	4	5	1	2	6	2	1	6	6	3	1	5
30109	1	0	10	17	0	3	11	19	0	3	2	7	0	0	2	8	0	0	5	4	0	4	5	5	0	3	3	6	0	1	4	6	0	2
30033	1	0	5	22	0	0	5	25	0	0	0	9	0	0	0	10	0	0	2	7	0	0	2	8	0	0	3	6	0	1	3	7	0	1
30053	1	0	13	14	0	6	15	15	0	7	4	5	0	3	5	5	0	3	4	5	0	3	4	6	0	2	5	4	0	4	6	4	0	5
30263	1	0	5	15	7	0	5	18	7	0	0	3	6	0	0	4	6	0	2	6	1	0	2	7	1	0	3	6	0	1	3	7	0	1
30219	1	0	6	6	15	3	6	6	18	3	0	3	6	0	0	3	7	0	3	2	4	3	3	2	5	2	3	1	5	3	3	1	6	3
30422	1	0	1	14	12	0	3	14	13	0	1	5	3	0	2	5	3	0	0	5	4	0	0	5	5	0	0	4	5	0	1	4	5	0
30030	1	0	13	14	0	6	13	17	0	5	4	5	0	3	4	6	0	2	5	4	0	4	5	5	0	3	4	5	0	3	4	6	0	2
30156	1	0	10	14	3	4	10	17	3	3	2	5	2	0	2	6	2	0	2	6	1	0	2	7	1	0	6	3	0	6	6	4	0	5
30294	1	1	17	7	3	11	19	8	3	11	6	1	2	6	7	1	2	7	5	4	0	4	5	5	0	3	6	2	1	6	7	2	1	6
30185	1	0	11	16	0	4	11	19	0	3	3	6	0	1	3	7	0	1	5	4	0	4	5	5	0	3	3	6	0	1	3	7	0	1
30021	1	0	15	11	1	8	15	14	1	7	2	6	1	0	2	7	1	0	7	2	0	7	7	3	0	6	6	3	0	6	6	4	0	5
30435	1	1	15	5	7	10	16	6	8	9	3	1	5	3	3	2	5	2	5	2	2	5	5	2	3	4	7	2	0	7	8	2	0	7
30008	1	0	7	20	0	0	8	22	0	0	4	5	0	3	5	5	0	3	0	9	0	0	0	10	0	0	3	6	0	1	3	7	0	1
30355	1	0	11	5	11	7	11	7	12	6	3	1	5	3	3	1	6	3	5	2	2	5	5	3	2	4	3	2	4	3	3	3	4	2
30255	1	0	15	12	0	8	15	15	0	7	3	6	0	1	3	7	0	1	5	4	0	4	5	5	0	3	7	2	0	7	7	3	0	6
30273	1	0	15	8	4	9	16	9	5	9	4	3	2	3	5	3	2	4	5	3	1	4	5	4	1	4	6	2	1	6	6	2	2	5
30399	1	0	4	5	18	2	4	6	20	1	1	4	4	0	1	5	4	0	3	1	5	3	3	1	6	3	0	0	9	0	0	0	10	0
30442	1	0	7	20	0	0	7	23	0	0	1	8	0	0	1	9	0	0	4	5	0	3	4	6	0	2	2	7	0	0	2	8	0	0
30365	1	0	13	11	3	7	14	13	3	6	4	3	2	3	4	4	2	3	4	5	0	3	4	6	0	2	5	3	1	4	6	3	1	5
30339	1	0	5	7	15	2	6	8	16	2	0	0	9	0	1	0	9	1	0	5	4	0	0	5	5	0	5	2	2	5	5	3	2	4
30437	1	0	2	15	10	0	2	17	11	0	0	4	5	0	0	5	5	0	1	7	1	0	1	7	2	0	1	4	4	0	1	5	4	0
