vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	A	399	174	5	174	108	42	70
2	A	399	67	119	67	83	82	48
3	C	399	169	82	44	42	169	62
4	D	399	136	103	22	67	71	136
5	B	399	138	182	38	138	26	15
6	B	399	118	101	31	118	74	75
7	A	399	251	14	251	47	59	28
8	C	399	237	51	41	45	237	25
9	D	399	124	143	44	52	36	124
10	B	399	131	41	21	131	175	31
11	B	399	333	1	18	333	3	44
12	A	399	302	21	302	54	14	8
13	C	399	133	71	65	111	133	19
14	D	399	66	71	28	53	181	66
15	D	399	37	97	173	74	18	37
16	B	399	249	22	56	249	20	52
17	A	399	128	50	128	118	70	33
18	D	399	131	90	36	106	36	131
19	D	399	149	36	110	53	51	149
20	B	399	189	55	21	189	17	117
21	A	399	123	43	123	149	66	18
22	A	399	167	31	167	66	64	71
23	B	399	305	39	23	305	10	22
24	C	399	192	72	15	62	192	58
25	A	399	219	40	219	86	23	31
26	C	399	254	36	14	29	254	66
27	A	399	200	34	200	97	20	48
28	D	399	240	30	65	49	15	240
29	D	399	182	32	16	77	92	182
30	C	399	220	38	17	43	220	81
