ijkID	verwerkingsstrategieenScore	stuurloosleergedragScore	zelfcontroleScore	uitstelScore	nieuwsgierigheidScore	testangstScore	emotionelecontroleScore	samenwerkingScore	extraversieScore
30405	15	8	14	6	15	5	18	12	14
30406	15	11	12	7	13	12	13	13	15
30408	17	10	16	5	15	10	11	14	15
30411	15	8	13	5	11	12	13	12	15
30417	17	7	11	5	15	12	15	11	14
30421	15	9	11	14	12	6	16	16	15
30427	14	9	10	8	14	8	14	14	14
30433	15	7	13	6	16	12	15	15	15
30440	17	5	15	5	14	9	17	13	14
30444	11	7	11	9	14	10	15	14	16
30446	17	10	17	6	18	9	13	10	13
30453	18	6	16	4	16	8	16	16	15
30455	18	4	19	4	19	7	18	17	19
30458	17	8	12	6	15	10	13	13	14
30463	14	13	10	9	15	16	13	12	15
30469	14	4	12	9	12	8	16	14	11
30052	15	11	16	0	14	6	15	14	12
30053	14	7	14	5	14	8	16	17	15
30054	16	6	16	7	15	6	13	8	10
30059	17	8	16	4	14	11	13	12	15
30060	15	4	12	6	15	6	7	15	12
30062	17	5	18	4	14	7	15	13	13
30064	17	9	15	5	15	13	13	15	10
30066	16	8	14	6	14	8	17	17	14
30069	15	12	13	9	14	13	11	10	9
30071	16	8	14	6	13	10	15	14	12
30072	14	9	12	8	14	11	13	14	13
30075	14	6	15	6	15	10	14	11	17
30078	16	10	12	6	17	10	15	15	17
30080	16	7	14	5	15	9	16	11	14
30081	16	6	15	4	13	10	19	13	14
30083	17	5	14	5	18	9	17	15	19
30084	12	7	11	8	15	9	18	15	17
30087	16	7	12	6	13	6	14	13	14
30088	15	10	15	6	16	10	14	13	11
30089	19	4	20	4	18	6	19	15	17
30090	18	5	18	4	15	10	15	13	11
30091	17	5	17	4	14	7	16	12	17
30092	16	8	14	5	15	9	15	13	16
30095	17	13	16	6	15	8	15	16	14
30097	12	6	9	9	14	12	9	12	12
30098	15	6	14	4	12	13	10	12	12
30102	17	6	17	5	15	9	15	11	15
30103	17	7	14	4	13	6	17	15	14
30105	16	10	15	5	14	13	13	7	12
30109	16	5	17	6	15	5	17	15	14
30116	17	5	12	4	14	10	14	19	16
30120	15	11	12	10	15	11	11	12	13
30121	16	6	16	5	15	8	15	16	13
30122	15	6	14	5	14	8	15	13	14
30126	16	7	14	7	14	11	14	13	14
30128	16	5	14	6	13	9	14	12	13
30130	15	7	14	8	15	8	16	11	13
30131	11	9	11	11	14	15	14	13	12
30133	17	7	15	4	15	9	15	11	14
30137	12	8	10	13	11	12	15	11	12
30139	14	10	12	9	15	9	13	11	15
30140	16	5	14	4	13	9	15	13	15
30141	16	9	13	7	14	11	17	13	14
30148	9	8	8	16	16	12	14	7	13
30150	18	6	18	5	17	9	17	4	13
30153	15	8	13	6	17	10	16	11	16
30156	15	7	12	7	13	12	15	15	16
30158	17	9	16	5	17	6	15	12	12
30159	15	11	14	9	14	11	16	15	14
30160	17	6	15	4	16	7	17	16	15
30165	17	6	13	6	15	5	13	9	12
30168	14	7	12	6	13	10	11	10	9
30169	16	7	13	6	11	12	14	13	12
30170	16	8	12	8	14	6	17	15	15
30173	16	6	15	7	14	11	15	10	9
30175	16	10	14	7	14	8	15	16	16
30176	16	6	14	6	13	8	13	13	13
30178	13	11	11	8	13	12	15	13	13
30179	16	7	15	4	12	8	13	15	12
30180	17	4	14	4	15	8	15	11	15
30181	16	7	14	6	15	9	15	16	14
30182	17	7	13	5	12	9	15	11	10
30185	14	7	10	6	14	8	13	15	12
30186	13	5	12	8	14	10	16	14	12
30187	17	6	15	4	14	9	15	13	14
30188	16	5	18	4	15	8	17	7	17
30193	16	7	18	5	15	10	15	12	13
30194	14	8	13	8	14	11	11	13	12
30195	18	6	16	4	16	9	12	17	14
30197	15	7	14	6	12	10	13	12	13
30199	18	6	17	5	16	13	9	15	16
30200	13	12	10	9	14	16	13	5	13
30201	15	9	12	7	16	11	17	17	12
30203	16	10	15	5	16	10	15	14	13
30204	17	7	15	5	14	6	15	12	13
30205	12	8	12	8	13	10	17	11	13
30208	16	8	14	7	15	10	11	18	17
30209	16	7	10	8	17	12	9	12	14
30210	16	9	15	6	16	12	12	14	15
30211	15	6	15	7	16	11	15	13	17
30212	19	6	16	5	16	8	15	14	18
30213	15	9	14	7	14	10	14	13	12
30214	17	5	17	5	17	7	17	13	15
30217	15	9	14	6	14	9	13	10	15
30219	11	12	12	9	14	11	13	12	13
30225	16	11	13	9	14	11	16	13	14
30229	15	5	14	4	14	5	15	9	14
30230	13	7	14	6	15	12	14	9	11
30235	16	8	12	5	11	11	12	14	14
30236	17	6	14	6	18	10	16	17	15
30237	15	5	14	6	16	8	15	11	16
30238	18	4	18	4	19	4	18	17	17
30241	11	7	12	8	13	11	17	13	10
30242	17	6	15	4	16	7	15	15	15
30243	16	8	12	6	14	10	17	17	15
30246	15	14	14	8	14	10	15	9	14
30248	15	6	10	7	15	8	14	13	13
30250	18	12	17	4	15	10	14	19	20
30255	14	9	10	8	14	11	17	16	13
30256	15	6	14	6	14	10	15	18	15
30258	13	11	11	12	15	14	9	14	11
30262	17	7	14	4	14	10	11	8	15
30263	17	7	15	5	15	8	15	13	13
30265	15	11	13	11	16	14	10	12	13
30266	16	6	14	6	15	9	15	15	15
30269	15	9	12	7	14	11	13	13	14
30270	15	7	11	7	12	12	9	11	9
30271	16	8	14	5	16	11	13	8	11
30272	12	11	12	8	15	11	13	10	14
30273	12	9	13	8	15	13	14	13	14
30276	16	6	11	7	14	11	15	16	14
30277	14	10	11	9	13	12	13	11	11
30278	14	7	13	8	15	9	14	13	14
30280	17	8	19	4	11	7	17	13	16
30282	14	7	11	8	12	12	12	9	11
30284	14	6	13	4	14	10	15	13	14
30287	15	4	12	11	14	7	15	12	14
30288	14	11	14	8	17	11	15	13	14
30289	15	6	10	7	15	13	13	12	12
30290	17	4	15	4	17	5	16	12	13
30293	17	4	15	6	15	10	13	7	9
30294	16	8	13	7	16	10	11	13	13
30297	15	8	10	7	12	6	15	16	16
30298	17	8	17	4	18	4	17	15	14
30300	16	9	15	5	14	11	15	18	16
30301	18	5	16	5	15	7	14	13	15
30303	16	9	13	5	17	7	17	15	15
30304	18	7	17	5	16	11	15	11	15
30306	16	7	14	10	16	12	11	14	15
30309	17	6	13	5	14	12	11	14	13
30310	17	7	14	5	11	9	13	14	12
30311	18	6	13	4	14	8	15	15	13
30312	16	7	14	6	15	10	9	11	12
30314	17	8	14	5	15	10	17	16	16
30318	17	7	14	6	13	11	12	11	14
30319	12	7	13	10	15	9	15	10	11
30324	17	8	14	6	13	12	14	17	11
30326	17	7	15	4	17	11	11	9	13
30328	16	8	13	6	15	11	15	11	12
30332	13	6	11	6	13	9	12	13	11
30335	18	4	17	4	15	9	15	12	14
30336	19	5	19	4	13	4	14	10	15
30337	17	5	16	4	17	7	15	10	14
30338	17	7	14	7	15	9	12	20	15
30339	15	9	12	5	15	10	18	11	13
30352	15	9	12	7	13	13	13	14	13
30354	15	10	14	8	14	10	13	9	14
30355	16	8	12	6	13	12	14	10	13
30358	14	8	13	7	15	9	17	13	16
30362	14	8	10	6	13	11	15	11	12
30364	17	7	15	6	15	12	9	14	15
30365	16	9	16	5	15	9	16	17	17
30367	14	4	13	7	14	9	15	16	14
30369	14	6	14	4	17	9	16	14	15
30370	16	7	12	7	15	9	15	9	15
30372	18	11	13	6	18	8	15	13	13
30373	17	8	16	6	14	8	13	5	12
30375	16	5	14	6	14	8	15	15	16
30376	16	8	12	8	11	10	14	12	11
30378	15	5	14	5	14	11	14	15	16
30379	17	5	12	5	12	13	10	11	12
30380	17	5	17	4	15	8	16	17	17
30384	16	4	13	4	13	11	11	15	14
30386	16	5	16	4	15	11	13	11	12
30387	17	7	13	7	16	16	14	15	9
30388	17	7	14	7	13	11	14	9	11
30390	15	8	12	8	14	8	14	9	12
30391	16	7	11	10	13	10	10	9	11
30392	17	7	18	4	14	6	18	16	17
30393	16	6	13	6	16	10	14	14	17
30394	15	10	15	6	15	9	13	13	16
30396	16	7	15	5	14	10	13	11	12
30397	13	11	8	11	14	12	13	11	11
30398	15	10	13	6	14	10	15	15	15
30399	18	4	17	5	20	6	19	15	16
30401	16	6	14	4	14	9	13	11	14
30403	18	3	17	5	17	6	17	14	17
30407	13	8	11	9	11	13	15	11	12
30412	17	8	18	4	18	7	19	12	18
30413	15	7	12	10	13	12	12	15	13
30414	17	7	14	8	15	11	13	15	17
30415	12	7	13	4	9	6	17	11	16
30418	13	8	11	9	15	13	14	11	9
30420	13	8	12	8	12	12	11	11	13
30422	17	4	16	6	17	6	16	14	17
30423	17	8	14	4	15	10	15	14	13
30424	16	5	16	4	14	10	14	13	15
30425	15	5	12	8	12	9	12	17	16
30426	15	7	15	5	15	10	13	16	17
30428	16	8	13	6	15	9	15	13	15
30429	17	7	18	4	17	9	10	9	11
30435	17	6	15	5	14	11	14	11	15
30436	15	8	12	5	14	12	13	15	15
30437	16	8	12	4	13	10	13	11	15
30438	19	4	17	4	18	10	14	15	13
30439	15	8	13	6	14	12	13	15	14
30441	16	6	14	6	15	11	15	13	11
30442	17	5	14	6	16	9	13	17	16
30447	15	9	9	10	15	10	16	10	14
30451	17	8	11	5	10	11	12	13	15
30454	13	8	11	7	14	6	19	13	14
30456	16	9	12	5	13	12	9	14	15
30457	17	8	15	5	14	9	17	14	17
30459	17	8	16	6	14	9	17	14	15
30460	17	4	15	4	13	6	16	17	15
30464	13	16	12	13	13	12	11	15	13
30465	15	8	14	7	12	8	13	13	11
30466	18	12	10	6	12	10	12	18	14
30467	16	7	12	8	14	10	13	15	14
30468	17	8	14	6	11	13	8	11	10
30001	15	6	15	5	14	10	14	15	15
30002	14	5	11	6	15	15	11	15	13
30003	16	8	16	7	15	9	13	14	14
30004	15	6	16	7	17	8	16	14	15
30008	17	7	14	4	13	8	15	14	14
30010	16	6	15	4	14	11	13	10	13
30011	16	6	15	5	14	7	17	15	15
30015	16	5	17	4	14	4	18	11	16
30016	18	5	15	4	15	7	13	11	14
30017	19	5	19	4	15	7	17	16	16
30019	18	5	18	4	16	7	17	13	16
30021	15	6	18	6	17	9	18	13	17
30022	19	4	18	4	17	5	16	16	14
30023	15	4	12	7	15	7	16	15	13
30029	11	16	9	11	15	9	17	12	13
30030	17	6	16	5	14	11	14	13	14
30033	16	8	16	4	13	9	13	10	12
30035	19	6	16	5	18	8	15	13	13
30036	15	7	15	7	17	9	18	15	16
30037	17	7	14	6	15	8	11	10	14
30040	14	10	10	6	14	11	11	14	11
30041	17	8	14	6	15	8	16	14	19
30042	18	4	16	4	12	8	15	12	13
30044	18	5	16	4	14	11	14	18	14
30045	17	5	14	4	16	11	12	7	10
30047	16	18	13	6	14	12	10	13	12
30049	17	4	14	4	11	8	11	15	12
