vraagId	juisteAntwoord
1	D
2	C
3	D
4	B
5	C
6	B
7	D
8	D
9	B
10	B
11	E
12	A
13	C
14	A
15	D
16	A
17	E
18	C
19	B
20	E
21	B
22	D
23	C
24	B
25	C
26	C
27	C
28	A
29	B
30	C
31	D
32	B
33	C
34	C
35	A
36	E
37	D
38	A
39	A
40	C
