vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	C	146	111	76	5	3	2	13	111	15
2	C	146	109	75	1	0	10	7	109	19
3	B	146	138	95	4	2	0	138	3	1
4	D	146	87	60	36	24	6	13	4	87
5	B	146	104	71	36	24	4	104	0	2
6	D	146	126	86	2	1	2	15	1	126
7	D	146	59	40	48	32	20	6	13	59
8	A	146	132	90	3	2	132	4	2	5
9	B	146	55	38	57	39	21	55	9	4
10	A	146	95	65	29	19	95	11	4	7
11	A	146	50	34	44	30	50	17	15	20
12	A	146	93	64	12	8	93	5	10	26
13	A	146	52	36	48	32	52	28	12	6
14	A	146	36	25	74	50	36	12	3	21
15	A	146	92	63	28	19	92	6	7	13
16	A	146	23	16	74	50	23	20	8	21
17	B	146	66	45	66	45	5	66	7	2
18	A	146	84	58	40	27	84	10	6	6
19	D	146	45	31	62	42	9	12	18	45
20	B	146	97	66	23	15	9	97	10	7
21	A	146	75	51	10	6	75	28	9	24
22	B	146	80	55	20	13	18	80	20	8
