ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
33215	1	B	A	D	D	B	D	D	C	D	B	A	C	X	A	X	D	X	B	B	B	D	A	B	A	A	C	X	B	D	C
32460	1	B	A	C	D	A	D	D	D	C	A	A	C	B	C	A	X	C	A	D	C	D	A	A	A	A	C	A	B	C	A
33829	1	B	A	D	B	A	A	B	C	C	B	A	A	C	C	A	B	C	C	B	B	C	A	B	A	A	C	C	A	C	B
33898	1	B	A	D	D	B	D	D	X	X	B	A	C	X	C	A	B	C	A	B	X	D	A	D	B	A	C	X	C	D	C
33124	1	B	A	B	D	C	D	D	C	A	A	A	C	D	C	A	X	X	C	D	C	D	A	C	B	A	C	A	B	X	C
32224	1	B	A	D	D	B	D	D	C	D	D	A	A	D	C	B	C	B	B	B	C	D	B	A	D	A	C	C	B	A	C
33604	1	B	A	C	C	X	C	X	D	B	D	C	C	C	C	A	B	A	D	A	X	D	X	A	A	D	A	X	A	X	C
33325	1	B	A	D	D	B	D	D	C	D	X	X	C	D	C	A	X	X	A	B	C	D	B	A	B	A	C	A	A	D	C
33428	1	B	A	D	B	B	D	X	X	B	C	B	A	D	C	X	B	A	B	B	X	D	B	B	C	X	C	X	C	X	X
32405	1	C	A	D	D	B	C	D	C	C	D	B	D	B	C	B	B	D	D	A	B	D	B	A	B	A	A	A	B	X	C
33891	1	B	A	D	D	B	D	D	C	C	D	A	C	C	C	C	B	X	A	B	C	D	A	B	B	A	C	C	C	B	C
33164	1	B	B	D	D	B	C	X	X	D	B	D	C	X	C	A	X	C	D	B	C	D	B	A	B	A	C	B	C	C	B
32534	1	B	B	D	D	B	B	D	C	D	D	A	C	D	C	A	B	C	A	D	C	D	B	B	B	A	C	C	B	D	C
32654	1	C	A	D	D	D	D	D	D	X	D	C	C	C	A	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
33466	1	B	A	D	D	B	D	D	D	D	B	A	A	D	C	B	B	A	A	B	B	D	B	A	A	A	C	A	B	B	C
32727	1	B	A	D	D	B	B	D	X	B	C	B	C	D	C	A	D	B	A	B	B	D	B	A	B	A	C	X	D	D	C
32272	1	A	A	D	D	B	D	D	C	A	B	A	C	X	C	A	X	D	A	B	C	D	A	X	B	A	C	X	C	X	C
33887	1	B	A	D	D	A	C	X	X	X	B	X	C	D	C	B	D	X	A	X	B	D	A	C	B	A	A	X	D	X	X
32408	1	A	B	D	B	B	D	D	D	C	A	C	C	A	C	B	A	C	A	B	B	C	B	B	B	A	C	B	B	D	A
33287	1	C	A	D	D	B	D	D	C	C	D	A	C	D	C	C	X	X	B	A	C	D	A	B	B	A	C	A	B	A	C
32878	1	B	A	D	D	B	D	D	C	B	D	A	C	D	C	A	C	C	A	B	B	D	B	A	A	A	A	C	C	D	C
33678	1	B	A	C	D	A	D	B	X	B	D	C	C	D	C	B	B	X	A	C	X	D	B	A	A	X	C	X	X	D	C
33450	1	B	A	D	D	B	C	D	C	D	D	A	C	D	C	B	B	A	A	B	C	D	B	A	B	A	C	A	B	D	C
33092	1	B	A	D	D	B	D	D	D	C	A	C	C	D	C	B	C	D	A	A	X	D	A	C	C	B	C	X	B	A	C
33528	1	B	A	D	D	B	D	D	C	D	B	A	C	D	C	A	B	A	A	B	B	D	B	A	B	A	C	X	B	D	C
32200	1	C	A	D	A	D	D	B	C	B	D	A	C	C	C	A	B	C	A	C	C	D	B	B	B	A	A	D	B	C	C
32174	1	B	A	D	D	A	D	D	D	B	D	D	A	C	C	A	C	B	B	B	B	D	A	A	B	D	A	C	C	D	C
33330	1	B	B	B	D	B	C	A	D	D	B	A	C	C	C	A	X	A	A	A	B	C	C	A	B	A	B	C	D	B	C
33212	1	B	A	D	D	B	X	X	X	X	D	X	C	X	C	B	X	X	A	X	X	D	A	X	B	A	X	X	B	X	D
32300	1	B	A	D	D	B	D	B	C	D	D	A	C	D	C	B	B	A	A	C	C	D	A	B	B	A	C	A	B	D	C
33424	1	B	A	D	D	B	D	D	C	D	D	A	C	D	C	A	D	A	A	D	C	D	B	A	B	A	C	A	B	B	C
33602	1	B	A	D	D	A	D	D	C	X	D	X	A	D	B	C	X	X	C	C	B	D	A	B	A	A	C	X	C	X	X
32833	1	B	A	D	D	B	B	B	D	B	D	B	C	D	C	B	B	C	D	C	C	D	B	D	A	A	C	D	B	D	A
33368	1	B	A	D	D	B	D	D	C	D	X	A	C	D	C	D	X	X	A	B	C	D	B	A	X	A	C	D	B	D	C
32539	1	B	A	D	D	C	D	D	D	D	X	A	C	C	C	A	C	D	A	A	C	D	B	A	A	A	C	X	D	X	D
33641	1	B	A	C	D	A	D	A	C	D	A	A	C	C	D	C	C	A	A	B	B	D	B	A	A	D	X	B	A	D	C
33634	1	B	B	D	C	B	B	B	C	D	A	A	C	C	C	A	C	C	C	B	B	D	C	B	A	A	D	C	D	D	A
32957	1	B	A	D	D	B	C	D	C	D	D	A	C	D	C	B	B	A	A	B	C	D	B	A	B	A	C	A	B	D	C
32346	1	C	A	D	D	B	D	C	D	A	D	A	C	C	C	C	B	A	A	B	C	D	B	B	B	A	C	A	C	B	C
33431	1	B	B	D	D	B	D	D	C	D	B	A	C	D	C	A	D	B	A	C	B	D	B	A	A	A	C	C	A	D	C
33298	1	B	A	D	D	C	D	D	X	B	D	B	A	X	C	A	X	A	A	A	C	D	B	X	B	A	X	X	C	D	X
32677	1	B	B	D	D	B	D	D	D	D	D	A	C	C	C	A	B	A	A	C	C	D	D	A	B	A	D	A	B	B	C
32872	1	A	A	C	D	A	D	D	C	D	D	A	C	D	C	A	X	A	A	B	C	D	A	A	A	A	C	C	A	D	C
32462	1	B	A	D	A	C	B	B	C	B	D	A	A	D	C	B	B	C	B	C	A	D	A	C	A	D	D	C	B	A	C
33463	1	B	B	D	C	B	C	X	C	B	D	A	C	X	C	B	X	C	C	D	B	D	B	A	A	A	A	X	A	X	C
33305	1	B	A	B	D	B	D	D	C	D	X	A	C	D	C	C	B	A	A	B	C	D	B	A	A	A	X	X	B	D	C
32281	1	B	A	D	D	B	B	D	C	D	D	A	C	C	C	A	D	C	D	A	B	D	B	D	B	A	B	C	B	D	D
33745	1	B	A	D	D	B	C	X	C	C	D	B	C	X	C	B	X	A	C	B	B	D	D	A	B	A	C	X	B	X	C
33122	1	B	C	C	D	B	C	D	C	C	B	A	A	C	C	A	B	A	A	B	X	D	C	X	A	A	X	X	B	X	X
33189	1	B	B	D	D	B	D	C	X	D	D	X	C	X	C	B	B	A	D	C	B	D	B	A	B	A	X	X	B	X	D
33209	1	A	A	D	D	C	D	D	C	C	B	C	C	B	C	X	B	C	A	B	X	D	B	A	A	A	C	A	C	D	C
33882	1	B	A	D	D	B	B	D	C	D	A	A	C	D	C	B	D	A	A	B	C	D	A	A	C	A	A	A	B	D	C
33339	1	B	A	A	B	B	C	D	A	B	D	A	C	B	C	B	A	A	C	A	C	D	A	A	A	D	A	X	B	C	C
32685	1	X	A	D	D	C	D	D	C	D	X	A	C	D	C	B	X	X	A	D	C	D	B	X	B	A	C	X	B	D	C
32693	1	B	A	D	D	C	D	B	C	D	D	A	A	C	A	A	B	A	A	A	C	D	C	A	B	A	C	A	A	D	C
32310	1	B	A	D	D	B	D	D	C	D	B	B	C	D	C	B	X	D	A	B	C	D	B	B	A	A	A	B	A	X	C
33574	1	B	A	D	D	A	D	D	C	D	A	A	X	D	C	X	B	A	A	B	C	D	B	A	B	A	C	A	B	D	C
32960	1	A	B	D	D	B	D	D	C	D	D	A	C	A	C	B	B	A	A	C	C	D	B	D	B	A	C	A	B	B	C
32873	1	B	A	A	B	B	C	X	C	X	B	X	X	X	C	X	X	X	C	A	D	D	A	X	A	D	X	X	A	X	X
32342	1	C	A	C	D	A	B	X	B	B	A	A	C	X	C	A	X	C	A	X	B	D	A	B	A	A	A	X	A	D	C
32185	1	B	B	D	D	B	D	D	X	X	D	A	C	D	C	A	B	B	D	X	C	D	C	B	B	A	C	X	B	X	X
