ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	basisJuist	basisFout	basisBlanco	basisScore	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	analyseJuist	analyseFout	analyseBlanco	analyseScore	algebraJuist	algebraFout	algebraBlanco	algebraScore	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore
33428	1	0	13	9	8	7	13	9	8	10	5	1	0	5	8	8	8	5	6	2	1	5	5	5	6	3	2	1	1	2	0	1	0	0
32405	1	1	18	11	1	10	18	11	1	14	4	2	0	3	14	9	1	11	4	5	0	2	11	4	1	10	2	2	0	1	1	0	0	1
33891	1	1	21	8	1	12	21	8	1	18	6	0	0	6	15	8	1	12	6	2	1	5	11	5	0	9	3	1	0	3	1	0	0	1
33164	1	0	15	11	4	8	15	11	4	11	4	2	0	3	11	9	4	8	6	3	0	5	7	6	3	5	2	1	1	2	0	1	0	0
32534	1	1	23	7	0	14	23	7	0	21	4	2	0	3	19	5	0	17	7	2	0	6	11	5	0	9	4	0	0	4	1	0	0	1
32654	1	0	7	6	17	3	7	6	17	5	4	2	0	3	3	4	17	2	1	1	7	1	5	3	8	4	0	2	2	0	1	0	0	1
33466	1	1	24	6	0	15	24	6	0	22	6	0	0	6	18	6	0	16	8	1	0	8	12	4	0	11	4	0	0	4	0	1	0	0
32727	1	1	19	9	2	11	19	9	2	16	5	1	0	5	14	8	2	11	7	2	0	6	8	6	2	6	4	0	0	4	0	1	0	0
32272	1	1	18	7	5	10	18	7	5	16	5	1	0	5	13	6	5	11	5	4	0	4	10	2	4	9	3	0	1	3	0	1	0	0
33887	1	0	12	9	9	6	12	9	9	9	4	2	0	3	8	7	9	6	3	3	3	2	6	4	6	5	3	1	0	3	0	1	0	0
32408	1	0	15	15	0	7	15	15	0	10	3	3	0	2	12	12	0	8	5	4	0	4	7	9	0	4	3	1	0	3	0	1	0	0
33287	1	1	20	8	2	12	20	8	2	17	5	1	0	5	15	7	2	13	5	3	1	4	11	4	1	10	3	1	0	3	1	0	0	1
32878	1	1	21	9	0	12	21	9	0	18	6	0	0	6	15	9	0	12	6	3	0	5	10	6	0	8	4	0	0	4	1	0	0	1
33678	1	1	17	7	6	10	17	7	6	15	4	2	0	3	13	5	6	11	6	1	2	6	8	5	3	6	2	1	1	2	1	0	0	1
33450	1	1	29	1	0	19	29	1	0	29	5	1	0	5	24	0	0	24	9	0	0	9	15	1	0	15	4	0	0	4	1	0	0	1
33092	1	0	16	12	2	8	16	12	2	12	6	0	0	6	10	12	2	6	6	3	0	5	7	7	2	5	3	1	0	3	0	1	0	0
33528	1	1	26	3	1	17	26	3	1	25	6	0	0	6	20	3	1	19	9	0	0	9	13	2	1	12	4	0	0	4	0	1	0	0
32200	1	0	17	13	0	8	17	13	0	13	3	3	0	2	14	10	0	11	5	4	0	4	9	7	0	7	2	2	0	1	1	0	0	1
32174	1	0	14	16	0	6	14	16	0	9	5	1	0	5	9	15	0	4	4	5	0	2	9	7	0	7	0	4	0	0	1	0	0	1
33330	1	0	13	16	1	5	13	16	1	8	3	3	0	2	10	13	1	6	4	5	0	2	6	9	1	3	3	1	0	3	0	1	0	0
33212	1	0	14	2	14	9	14	2	14	13	5	0	1	5	9	2	13	8	4	2	3	3	6	0	10	6	3	0	1	3	1	0	0	1
32300	1	1	26	4	0	16	26	4	0	25	6	0	0	6	20	4	0	19	7	2	0	6	14	2	0	13	4	0	0	4	1	0	0	1
33424	1	1	26	4	0	16	26	4	0	25	6	0	0	6	20	4	0	19	8	1	0	8	13	3	0	12	4	0	0	4	1	0	0	1
33602	1	0	12	11	7	6	12	11	7	8	5	1	0	5	7	10	7	4	3	4	2	2	6	5	5	4	2	2	0	1	1	0	0	1
32833	1	0	18	12	0	9	18	12	0	14	5	1	0	5	13	11	0	9	6	3	0	5	8	8	0	5	3	1	0	3	1	0	0	1
33368	1	1	24	2	4	16	24	2	4	23	6	0	0	6	18	2	4	17	8	0	1	8	12	2	2	11	4	0	0	4	0	0	1	0
32539	1	0	17	10	3	9	17	10	3	14	5	1	0	5	12	9	3	9	5	4	0	4	10	4	2	9	2	2	0	1	0	0	1	0
33641	1	0	16	13	1	8	16	13	1	12	4	2	0	3	12	11	1	8	7	1	1	7	8	8	0	5	1	3	0	0	0	1	0	0
33634	1	0	12	18	0	4	12	18	0	6	3	3	0	2	9	15	0	4	4	5	0	2	6	10	0	3	2	2	0	1	0	1	0	0
32957	1	1	29	1	0	19	29	1	0	29	5	1	0	5	24	0	0	24	9	0	0	9	15	1	0	15	4	0	0	4	1	0	0	1
32346	1	1	21	9	0	12	21	9	0	18	5	1	0	5	16	8	0	13	7	2	0	6	10	6	0	8	3	1	0	3	1	0	0	1
33431	1	1	20	10	0	11	20	10	0	17	5	1	0	5	15	9	0	12	6	3	0	5	10	6	0	8	4	0	0	4	0	1	0	0
33298	1	0	16	7	7	9	16	7	7	14	5	1	0	5	11	6	7	9	4	3	2	3	9	3	4	8	2	1	1	2	1	0	0	1
32677	1	1	22	8	0	13	22	8	0	19	5	1	0	5	17	7	0	15	6	3	0	5	12	4	0	11	3	1	0	3	1	0	0	1
32872	1	1	21	8	1	12	21	8	1	18	3	3	0	2	18	5	1	16	6	3	0	5	11	4	1	10	3	1	0	3	1	0	0	1
32462	1	0	13	17	0	5	13	17	0	7	3	3	0	2	10	14	0	5	4	5	0	2	7	9	0	4	1	3	0	0	1	0	0	1
