feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	basisJuist	basisFout	basisBlanco	basisScore	basisGroep	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	niet_basisGroep	analyseJuist	analyseFout	analyseBlanco	analyseScore	analyseGroep	algebraJuist	algebraFout	algebraBlanco	algebraScore	algebraGroep	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	meetkundeGroep	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore	kansrekenenGroep
19hw84106	1	0	10	16	4	3	<6	10	16	4	5	<9	2	3	1	1	basis	8	13	3	4	niet_basis	6	3	0	5	analyse	2	10	4	0	algebra	1	3	0	0	meetkunde	1	0	0	1	kansrekenen
19hw96442	1	0	12	8	10	6	6-9	12	8	10	9	9-14	2	3	1	1	basis	10	5	9	8	niet_basis	3	4	2	2	analyse	7	3	6	6	algebra	2	0	2	2	meetkunde	0	1	0	0	kansrekenen
19hw63736	1	1	17	2	11	11	10-14	17	2	11	16	15-21	5	0	1	5	basis	12	2	10	11	niet_basis	5	1	3	5	analyse	9	1	6	9	algebra	2	0	2	2	meetkunde	1	0	0	1	kansrekenen
19hw59231	1	0	5	24	1	0	<6	5	24	1	0	<9	1	5	0	0	basis	4	19	1	0	niet_basis	1	7	1	0	analyse	3	13	0	0	algebra	0	4	0	0	meetkunde	1	0	0	1	kansrekenen
19hw24209	1	1	25	5	0	16	>14	25	5	0	23	>=22	4	2	0	3	basis	21	3	0	20	niet_basis	7	2	0	6	analyse	14	2	0	13	algebra	4	0	0	4	meetkunde	0	1	0	0	kansrekenen
19hw78300	1	0	15	15	0	7	6-9	15	15	0	10	9-14	2	4	0	1	basis	13	11	0	9	niet_basis	4	5	0	2	analyse	9	7	0	7	algebra	2	2	0	1	meetkunde	0	1	0	0	kansrekenen
19hw74863	1	0	15	15	0	7	6-9	15	15	0	10	9-14	4	2	0	3	basis	11	13	0	7	niet_basis	7	2	0	6	analyse	6	10	0	3	algebra	2	2	0	1	meetkunde	0	1	0	0	kansrekenen
19hw42136	1	1	18	10	2	10	10-14	18	10	2	15	15-21	4	2	0	3	basis	14	8	2	11	niet_basis	5	4	0	4	analyse	10	4	2	9	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
19hw97659	1	0	15	9	6	8	6-9	15	9	6	12	9-14	3	3	0	2	basis	12	6	6	10	niet_basis	4	4	1	3	analyse	7	4	5	6	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw48114	1	1	22	8	0	13	10-14	22	8	0	19	15-21	5	1	0	5	basis	17	7	0	15	niet_basis	4	5	0	2	analyse	14	2	0	13	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw71952	1	1	23	4	3	14	10-14	23	4	3	22	>=22	6	0	0	6	basis	17	4	3	16	niet_basis	6	3	0	5	analyse	12	1	3	12	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw38790	1	0	13	10	7	6	6-9	13	10	7	10	9-14	3	3	0	2	basis	10	7	7	8	niet_basis	6	3	0	5	analyse	6	5	5	4	algebra	1	2	1	0	meetkunde	0	0	1	0	kansrekenen
19hw95853	1	0	16	11	3	8	6-9	16	11	3	12	9-14	4	1	1	4	basis	12	10	2	9	niet_basis	4	5	0	2	analyse	11	2	3	10	algebra	0	4	0	0	meetkunde	1	0	0	1	kansrekenen
19hw97271	1	0	17	13	0	8	6-9	17	13	0	13	9-14	3	3	0	2	basis	14	10	0	11	niet_basis	7	2	0	6	analyse	10	6	0	8	algebra	0	4	0	0	meetkunde	0	1	0	0	kansrekenen
19hw51752	1	0	12	18	0	4	<6	12	18	0	6	<9	3	3	0	2	basis	9	15	0	4	niet_basis	3	6	0	1	analyse	8	8	0	5	algebra	0	4	0	0	meetkunde	1	0	0	1	kansrekenen
19hw76356	1	1	19	7	4	11	10-14	19	7	4	17	15-21	5	1	0	5	basis	14	6	4	12	niet_basis	5	2	2	4	analyse	9	5	2	7	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw73005	1	1	23	5	2	14	10-14	23	5	2	21	15-21	5	1	0	5	basis	18	4	2	17	niet_basis	7	2	0	6	analyse	12	2	2	11	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw76485	1	0	13	14	3	6	6-9	13	14	3	8	<9	4	2	0	3	basis	9	12	3	5	niet_basis	5	4	0	4	analyse	6	7	3	4	algebra	1	3	0	0	meetkunde	1	0	0	1	kansrekenen
19hw49189	1	1	28	2	0	18	>14	28	2	0	27	>=22	6	0	0	6	basis	22	2	0	21	niet_basis	8	1	0	8	analyse	15	1	0	15	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw60095	1	1	27	3	0	17	>14	27	3	0	26	>=22	6	0	0	6	basis	21	3	0	20	niet_basis	7	2	0	6	analyse	15	1	0	15	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw52846	1	0	7	9	14	3	<6	7	9	14	4	<9	1	5	0	0	basis	6	4	14	5	niet_basis	2	2	5	1	analyse	3	6	7	1	algebra	1	1	2	1	meetkunde	1	0	0	1	kansrekenen
19hw55514	1	1	25	4	1	16	>14	25	4	1	24	>=22	5	1	0	5	basis	20	3	1	19	niet_basis	8	1	0	8	analyse	13	2	1	12	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw67354	1	0	15	11	4	8	6-9	15	11	4	11	9-14	4	2	0	3	basis	11	9	4	8	niet_basis	3	4	2	2	analyse	9	5	2	7	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
19hw89568	1	0	14	12	4	7	6-9	14	12	4	10	9-14	3	3	0	2	basis	11	9	4	8	niet_basis	4	4	1	3	analyse	6	7	3	4	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw79204	1	1	22	8	0	13	10-14	22	8	0	19	15-21	5	1	0	5	basis	17	7	0	15	niet_basis	8	1	0	8	analyse	10	6	0	8	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw12391	1	1	20	10	0	11	10-14	20	10	0	17	15-21	4	2	0	3	basis	16	8	0	13	niet_basis	7	2	0	6	analyse	12	4	0	11	algebra	1	3	0	0	meetkunde	0	1	0	0	kansrekenen
19hw10162	1	0	15	12	3	7	6-9	15	12	3	11	9-14	2	4	0	1	basis	13	8	3	10	niet_basis	6	3	0	5	analyse	6	7	3	4	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
19hw89569	1	1	25	5	0	16	>14	25	5	0	23	>=22	6	0	0	6	basis	19	5	0	17	niet_basis	5	4	0	4	analyse	15	1	0	15	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw70071	1	0	15	14	1	7	6-9	15	14	1	10	9-14	3	3	0	2	basis	12	11	1	8	niet_basis	5	4	0	4	analyse	8	7	1	6	algebra	1	3	0	0	meetkunde	1	0	0	1	kansrekenen
19hw22905	1	0	13	16	1	5	<6	13	16	1	8	<9	4	2	0	3	basis	9	14	1	4	niet_basis	5	4	0	4	analyse	7	8	1	4	algebra	1	3	0	0	meetkunde	0	1	0	0	kansrekenen
19hw97554	1	0	14	16	0	6	6-9	14	16	0	9	9-14	4	2	0	3	basis	10	14	0	5	niet_basis	4	5	0	2	analyse	7	9	0	4	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
