ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	chemieJuist	chemieFout	chemieBlanco	chemieScore	basisvaardighedenJuist	basisvaardighedenFout	basisvaardighedenBlanco	basisvaardighedenScore
27495	1	0	17	14	9	6	7	6	7	5	5	3	2	4	5	5	0	3
27183	1	0	21	14	5	8	11	7	2	9	3	4	3	2	7	3	0	6
25972	1	1	27	13	0	11	11	9	0	8	7	3	0	6	9	1	0	9
23986	1	0	20	11	9	8	10	3	7	9	4	4	2	3	6	4	0	5
24707	1	1	26	11	3	11	10	8	2	7	8	1	1	8	8	2	0	7
24582	1	1	29	5	6	14	15	3	2	14	6	0	4	6	8	2	0	7
26738	1	1	26	11	3	11	11	7	2	9	6	3	1	5	9	1	0	9
26613	1	1	23	8	9	10	12	3	5	11	4	3	3	3	7	2	1	6
26759	1	0	17	15	8	6	5	8	7	2	5	4	1	4	7	3	0	6
25779	1	1	26	8	6	12	15	3	2	14	4	2	4	3	7	3	0	6
26390	1	1	26	11	3	11	13	5	2	11	6	3	1	5	7	3	0	6
27473	1	0	20	14	6	8	10	7	3	8	3	4	3	2	7	3	0	6
26529	1	0	20	15	5	8	11	8	1	8	5	3	2	4	4	4	2	3
24496	1	1	26	11	3	11	15	4	1	14	7	2	1	6	4	5	1	2
25748	1	0	20	16	4	7	8	9	3	5	5	4	1	4	7	3	0	6
25069	1	0	20	16	4	7	8	9	3	5	5	4	1	4	7	3	0	6
25194	1	0	20	17	3	7	11	7	2	9	5	4	1	4	4	6	0	2
25712	1	0	19	11	10	8	13	4	3	12	2	2	6	1	4	5	1	2
24742	1	1	30	9	1	14	19	1	0	19	7	2	1	6	4	6	0	2
26710	1	1	29	11	0	13	15	5	0	13	7	3	0	6	7	3	0	6
26342	1	0	22	16	2	8	12	7	1	10	7	3	0	6	3	6	1	1
26508	1	0	19	10	11	8	8	5	7	6	6	1	3	6	5	4	1	4
24810	1	0	17	12	11	7	11	4	5	10	1	4	5	0	5	4	1	4
26462	1	1	28	5	7	13	13	3	4	12	8	0	2	8	7	2	1	6
27100	1	1	40	0	0	20	20	0	0	20	10	0	0	10	10	0	0	10
27198	1	1	28	8	4	13	12	6	2	10	7	1	2	7	9	1	0	9
27341	1	0	17	18	5	6	10	6	4	8	2	7	1	0	5	5	0	3
24491	1	0	19	10	11	8	12	3	5	11	2	5	3	0	5	2	3	4
25369	1	0	19	17	4	7	8	8	4	5	7	3	0	6	4	6	0	2
26461	1	0	7	13	20	1	3	5	12	1	0	3	7	0	4	5	1	2
23963	1	0	14	17	9	4	8	7	5	6	3	5	2	1	3	5	2	1
27308	1	0	21	10	9	9	10	4	6	9	4	3	3	3	7	3	0	6
26719	1	0	13	21	6	3	8	9	3	5	2	6	2	0	3	6	1	1
24683	1	0	23	14	3	9	10	7	3	8	10	0	0	10	3	7	0	1
24039	1	1	24	11	5	10	14	5	1	12	3	3	4	2	7	3	0	6
26928	1	0	15	25	0	3	6	14	0	1	5	5	0	3	4	6	0	2
27448	1	0	16	11	13	6	6	6	8	4	2	4	4	1	8	1	1	8
26081	1	0	21	15	4	8	8	8	4	5	7	3	0	6	6	4	0	5
24556	1	1	24	12	4	10	11	7	2	9	6	2	2	5	7	3	0	6
26585	1	0	11	18	11	3	2	9	9	0	3	6	1	1	6	3	1	5
25290	1	0	19	21	0	6	10	10	0	7	3	7	0	1	6	4	0	5
25198	1	1	24	11	5	10	9	6	5	7	7	3	0	6	8	2	0	7
26904	1	0	14	24	2	3	8	11	1	4	4	5	1	2	2	8	0	0
25265	1	1	26	14	0	11	11	9	0	8	7	3	0	6	8	2	0	7
26534	1	0	22	12	6	9	12	4	4	11	3	5	2	1	7	3	0	6
26519	1	0	15	20	5	4	9	10	1	6	3	5	2	1	3	5	2	1
26062	1	1	26	10	4	11	12	6	2	10	8	1	1	8	6	3	1	5
24758	1	1	27	12	1	12	16	4	0	15	6	4	0	5	5	4	1	4
26169	1	0	13	13	14	4	7	5	8	5	1	3	6	0	5	5	0	3
24170	1	0	19	17	4	7	8	10	2	5	5	3	2	4	6	4	0	5
24815	1	0	15	12	13	6	7	5	8	5	4	5	1	2	4	2	4	3
26840	1	1	26	11	3	11	13	6	1	11	6	2	2	5	7	3	0	6
27457	1	0	12	13	15	4	10	8	2	7	2	5	3	0	0	0	10	0
