ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
27019	1	D	B	C	D	B	B	A	C	A	D	B	B	C	A	D	B	D	B	A	A	A	A	C	D	B	A	B	C	D	D	A	A	D	C	B	A	X	A	B	B
23995	1	D	X	C	D	X	X	X	C	X	X	B	B	D	B	X	X	X	B	D	X	A	X	C	C	C	C	A	A	X	C	A	X	X	X	B	A	D	C	X	X
24663	1	D	X	C	D	A	X	A	X	X	C	B	B	C	B	X	B	X	X	C	X	A	C	X	X	C	D	X	X	X	A	A	B	D	B	B	A	C	C	B	C
27347	1	D	B	C	D	X	X	C	C	A	D	B	B	C	D	X	C	X	D	D	A	A	C	C	D	B	C	A	X	C	A	A	A	D	C	B	A	D	X	B	B
25952	1	D	X	B	C	C	A	X	C	A	D	X	B	C	A	B	C	B	X	A	C	X	X	X	B	C	A	X	C	X	B	A	B	D	C	B	D	D	A	A	B
25310	1	D	B	C	D	C	X	A	C	X	X	B	B	C	X	A	B	B	B	C	A	A	D	X	B	C	D	B	X	D	C	A	A	D	C	B	A	C	C	B	B
27223	1	D	X	C	D	B	B	A	C	A	D	B	B	C	A	D	C	X	B	A	A	A	X	C	A	B	C	B	C	C	C	A	B	D	C	B	A	C	C	B	C
26626	1	D	X	B	D	C	B	A	X	A	D	B	A	B	C	X	C	A	X	C	D	C	X	C	D	B	C	B	C	D	X	A	A	D	B	B	A	C	C	B	B
26277	1	D	A	C	D	X	B	B	C	A	D	B	B	C	C	B	B	B	X	C	A	A	D	X	D	C	A	B	X	D	A	A	A	D	C	B	A	C	C	B	B
27122	1	D	B	C	D	C	D	B	C	A	D	B	B	C	A	C	B	B	A	C	D	A	B	B	C	A	D	D	A	D	A	A	D	C	B	A	B	C	C	A	C
25112	1	D	B	C	B	B	X	A	C	A	D	B	B	C	X	C	C	B	A	C	A	A	X	X	D	B	C	A	C	C	C	B	D	A	X	B	A	D	D	B	C
24947	1	D	B	C	D	B	A	A	C	A	D	B	B	D	A	X	B	A	X	C	A	A	C	B	D	C	D	B	A	C	D	A	A	D	C	B	A	D	C	A	C
24696	1	D	X	C	D	B	A	A	C	A	D	B	B	D	A	X	B	B	B	X	D	A	X	B	A	C	C	X	X	C	D	A	B	D	C	B	D	D	C	X	A
27345	1	D	B	C	D	C	B	A	X	A	D	B	B	C	A	D	X	X	X	A	A	A	X	C	D	B	C	B	A	C	C	A	A	X	C	B	A	D	C	B	C
23881	1	D	B	C	D	C	B	A	C	A	D	B	B	C	A	D	C	X	B	C	A	A	D	C	X	C	C	B	A	D	D	A	B	A	C	B	A	D	C	B	B
24829	1	D	B	C	D	C	B	A	C	A	D	B	B	C	B	D	B	B	B	C	C	A	D	C	D	B	A	B	A	C	D	D	C	B	C	B	A	D	C	B	C
24903	1	D	B	C	D	C	D	A	C	A	D	B	B	C	D	D	C	D	B	A	A	A	D	C	D	B	C	B	C	C	D	A	A	D	C	B	A	C	C	B	C
26622	1	D	A	B	D	X	X	A	X	A	D	B	B	D	X	X	X	B	X	A	A	A	X	D	B	C	C	X	D	X	X	A	A	D	C	A	D	C	C	B	B
24618	1	D	X	C	D	A	B	B	C	B	D	B	B	D	C	C	B	A	D	D	C	D	C	C	D	A	D	B	C	D	D	A	B	B	A	B	D	C	C	A	B
25076	1	D	A	C	B	D	X	B	C	X	D	B	D	D	A	X	B	C	X	C	D	A	B	C	D	B	C	X	C	D	X	A	B	A	B	A	X	C	C	X	C
27471	1	D	B	C	X	B	B	A	C	D	D	B	B	C	C	C	X	A	X	C	A	A	D	C	D	B	C	A	C	D	C	A	B	A	B	B	A	C	C	X	C
24875	1	X	X	D	D	X	D	X	X	A	C	D	B	D	A	X	X	D	B	X	X	D	X	X	X	X	C	X	X	X	X	C	B	D	A	B	A	D	C	A	B
26322	1	D	B	C	D	B	B	A	D	A	D	B	B	C	X	C	X	B	B	A	A	D	D	X	D	B	C	X	X	X	X	A	B	B	A	B	A	C	C	X	B
26818	1	D	B	C	D	B	A	X	C	A	D	B	B	D	X	C	C	D	B	C	C	A	B	A	C	C	C	B	A	B	D	A	D	A	C	B	A	C	C	X	C
24410	1	D	B	C	D	D	D	A	C	A	D	B	B	C	A	A	B	A	C	C	C	D	B	C	D	B	D	B	B	C	D	A	A	D	C	B	A	D	C	A	C
27365	1	D	X	C	D	D	C	X	D	A	D	C	B	D	X	C	B	A	B	C	B	D	B	A	C	C	A	X	C	X	X	A	B	A	A	B	A	C	C	X	C
26767	1	D	X	C	D	C	B	A	C	A	D	X	A	C	A	C	B	A	X	C	A	X	C	X	C	C	D	X	X	X	D	A	C	A	A	B	A	C	C	X	B
27102	1	D	X	C	B	B	B	X	C	D	D	X	C	C	B	A	C	A	B	D	D	A	D	C	C	B	C	X	C	C	D	A	B	A	C	A	A	C	C	B	C
26796	1	D	B	C	D	B	D	B	C	X	D	C	C	D	X	C	C	B	B	C	A	A	A	B	X	B	D	X	X	B	X	A	C	A	D	B	A	D	C	X	C
25101	1	D	D	C	D	B	D	A	C	A	D	B	D	C	A	D	C	A	B	A	X	A	X	C	B	B	C	X	C	D	D	A	A	D	C	B	A	B	C	X	B
25020	1	D	X	C	D	C	D	X	B	A	D	X	B	C	A	X	C	X	X	B	A	A	B	C	B	B	C	B	X	D	X	A	C	D	C	B	A	D	C	A	B
25166	1	D	B	C	D	C	A	B	C	X	D	B	D	C	X	A	D	D	X	C	X	A	D	C	D	B	C	B	C	C	D	A	B	D	B	B	A	B	C	B	B
25842	1	D	X	C	D	B	A	X	C	D	D	X	B	C	X	B	X	B	C	B	D	A	C	B	X	B	C	X	A	X	C	A	B	A	C	B	A	B	C	C	C
25024	1	D	B	C	C	A	B	B	B	A	D	C	B	X	C	B	B	A	B	C	X	A	D	X	A	B	B	B	A	X	D	A	B	B	X	B	A	D	C	B	C
27375	1	D	X	C	D	B	X	X	X	D	C	X	B	D	C	C	B	B	D	C	D	A	C	C	D	B	C	B	A	C	A	A	B	C	C	B	A	D	D	X	C
25638	1	D	B	C	D	B	B	X	C	A	D	B	B	C	A	X	C	A	B	A	A	A	X	C	D	B	D	B	D	C	D	A	A	D	C	B	A	B	C	B	B
25832	1	D	B	C	D	C	B	A	C	A	D	B	B	D	A	D	C	C	B	A	A	A	C	A	D	B	D	B	C	C	C	A	A	D	B	B	A	C	C	B	B
26554	1	D	C	C	D	A	B	X	C	A	D	X	B	D	B	D	B	A	X	C	D	A	X	C	D	B	C	B	B	D	D	A	B	C	A	A	A	D	C	B	B
25193	1	D	B	C	D	B	B	X	X	A	A	B	B	C	A	X	X	B	X	C	A	D	B	B	D	B	C	B	C	D	D	A	D	A	A	B	C	D	C	B	C
26437	1	D	X	A	C	A	X	A	D	X	D	B	B	C	A	X	X	X	D	A	X	A	C	B	B	B	C	A	D	X	A	A	D	A	A	B	C	D	C	B	C
26856	1	D	B	C	D	X	X	A	C	A	D	B	B	C	C	X	X	X	X	C	X	A	X	D	D	X	X	B	X	X	X	A	A	D	X	B	A	D	C	B	C
25169	1	D	D	C	D	B	B	A	C	A	D	B	B	C	X	X	B	C	X	D	A	A	X	C	B	B	A	A	D	C	D	A	A	D	C	B	A	C	C	B	B
26354	1	D	B	C	D	B	B	A	C	A	D	B	B	C	B	D	C	A	D	A	A	A	D	C	D	B	C	B	A	C	D	A	A	D	C	B	A	C	C	B	X
25359	1	D	X	C	D	A	X	X	C	D	D	B	B	D	B	D	X	C	X	A	B	A	X	C	D	C	A	A	X	X	B	A	X	X	A	B	A	B	C	X	B
26860	1	D	A	A	D	B	B	A	C	A	D	B	B	C	B	D	B	B	B	B	A	A	C	X	D	B	C	B	C	D	D	A	A	D	C	B	A	D	C	B	B
24036	1	D	B	C	D	B	B	C	D	A	D	B	B	D	C	D	X	X	X	D	D	A	X	C	A	C	X	C	A	D	D	A	B	D	A	B	A	C	D	B	C
25481	1	D	C	C	D	B	A	X	C	X	X	D	B	D	B	B	B	B	C	X	C	C	X	A	X	C	C	X	X	X	X	A	D	C	X	B	A	D	D	X	A
27431	1	D	B	C	D	C	X	A	A	X	C	B	B	C	X	C	C	B	X	D	C	A	X	X	D	A	C	B	X	C	C	A	B	A	A	D	X	D	C	B	B
25161	1	D	X	C	D	X	X	X	X	A	D	B	B	C	C	X	B	X	X	X	D	A	X	X	D	C	C	A	X	X	X	A	B	B	B	B	A	B	C	X	B
26325	1	D	X	C	D	B	B	A	C	D	D	B	B	C	A	X	C	X	B	D	D	A	B	C	X	B	C	X	D	C	D	A	C	A	A	B	A	X	C	X	B
