vraagId	juisteAntwoord
1	C
2	B
3	A
4	B
5	D
6	B
7	D
8	B
9	D
10	C
11	A
12	B
13	A
14	B
15	A
16	C
17	D
18	C
19	A
20	D
21	D
22	C
23	C
24	B
25	B
