vraagId	juisteAntwoord
1	D
2	C
3	D
4	B
5	C
6	B
7	D
8	D
9	B
10	B
11	E
12	A
13	C
14	D
15	A
16	E
17	A
18	E
19	A
20	C
21	C
22	E
23	E
24	D
25	A
26	B
27	B
28	E
29	D
30	C
31	D
32	C
33	E
34	A
35	E
36	D
37	D
38	D
39	D
40	C
